Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;Year
1;Michael Jordan;27;CHI;77.0;891.0;960;0.928;82;37.0;31.май;6.0;05.май;02.июл;1.0;0.539;0.312;0.851;20.мар;0.321;1991
2;Magic Johnson;31;LAL;10.0;497.0;960;0.518;79;37.1;19.апр;7.0;12.май;01.мар;0.2;0.477;0.32;0.906;15.апр;0.251;1991
3;David Robinson;25;SAS;6.0;476.0;960;0.496;82;37.7;25.июн;13.0;02.май;01.май;03.сен;0.552;0.143;0.762;17.0;0.264;1991
4;Charles Barkley;27;PHI;2.0;222.0;960;0.231;67;37.3;27.июн;10.янв;04.фев;01.июн;0.5;0.57;0.284;0.722;13.апр;0.258;1991
5;Karl Malone;27;UTA;0.0;142.0;960;0.148;82;40.3;29.0;11.авг;03.мар;01.янв;1.0;0.527;0.286;0.77;15.май;0.225;1991
6;Clyde Drexler;28;POR;1.0;75.0;960;0.078;82;34.8;21.май;06.июл;6.0;01.авг;0.7;0.482;0.319;0.794;12.апр;0.209;1991
7;Kevin Johnson;24;PHO;0.0;32.0;960;0.033;77;36.0;22.фев;03.май;10.янв;02.янв;0.1;0.516;0.205;0.843;12.июл;0.22;1991
8;Dominique Wilkins;31;ATL;0.0;29.0;960;0.03;81;38.0;25.сен;9.0;03.мар;01.май;0.8;0.47;0.341;0.829;11.апр;0.177;1991
9T;Larry Bird;34;BOS;0.0;25.0;960;0.026;60;38.0;19.апр;08.май;07.фев;01.авг;1.0;0.454;0.389;0.891;06.июн;0.14;1991
9T;Terry Porter;27;POR;0.0;25.0;960;0.026;81;32.9;17.0;03.май;8.0;2.0;0.1;0.515;0.415;0.823;13.0;0.235;1991
11;Patrick Ewing;28;NYK;0.0;20.0;960;0.021;81;38.3;26.июн;11.фев;3.0;1.0;03.фев;0.514;0.0;0.745;10.0;0.155;1991
12;John Stockton;28;UTA;0.0;15.0;960;0.016;82;37.8;17.фев;02.сен;14.фев;02.сен;0.2;0.507;0.345;0.836;14.0;0.217;1991
13;Isiah Thomas;29;DET;0.0;11.0;960;0.011;48;34.5;16.фев;03.мар;09.мар;01.июн;0.2;0.435;0.292;0.782;03.апр;0.098;1991
14;Robert Parish;37;BOS;0.0;10.0;960;0.01;81;30.янв;14.сен;10.июн;0.8;0.8;01.мар;0.598;0.0;0.767;10.0;0.198;1991
15;Joe Dumars;27;DET;0.0;8.0;960;0.008;80;38.1;20.апр;02.мар;05.май;01.янв;0.1;0.481;0.311;0.89;09.сен;0.155;1991
16;Bernard King;34;WSB;0.0;7.0;960;0.007;64;37.5;28.апр;5.0;04.июн;0.9;0.3;0.472;0.216;0.79;03.май;0.07;1991
17;Kenny Smith;25;HOU;0.0;5.0;960;0.005;78;34.6;17.июл;02.янв;07.янв;01.апр;0.1;0.52;0.363;0.844;9.0;0.161;1991
18;Hakeem Olajuwon;28;HOU;0.0;4.0;960;0.004;56;36.8;21.фев;13.авг;02.мар;02.фев;03.сен;0.508;0.0;0.769;08.июн;0.201;1991
19T;Tim Hardaway;24;GSW;0.0;1.0;960;0.001;82;39.2;22.сен;4.0;09.июл;02.июн;0.1;0.476;0.385;0.803;09.сен;0.148;1991
19T;Kevin McHale;33;BOS;0.0;1.0;960;0.001;68;30.апр;18.апр;07.янв;01.сен;0.4;02.янв;0.553;0.405;0.829;07.сен;0.182;1991
1;Michael Jordan;28;CHI;80.0;900.0;960;0.938;80;38.8;30.янв;06.апр;06.янв;02.мар;0.9;0.519;0.27;0.832;17.июл;0.274;1992
2;Clyde Drexler;29;POR;12.0;561.0;960;0.584;76;36.2;25.0;06.июн;06.июл;01.авг;0.9;0.47;0.337;0.794;12.авг;0.223;1992
3;David Robinson;26;SAS;2.0;337.0;960;0.351;68;37.7;23.фев;12.фев;02.июл;02.мар;04.май;0.551;0.125;0.701;13.сен;0.26;1992
4;Karl Malone;28;UTA;1.0;262.0;960;0.273;81;37.7;28.0;11.фев;3.0;01.мар;0.6;0.526;0.176;0.778;15.янв;0.237;1992
